id,item,price,description,details,notes
924,Beef - Flank Steak,76.53,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,penatibus et magnis dis,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
925,Muffin - Blueberry Individual,69.62,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",venenatis tristique fusce,Fusce consequat. Nulla nisl. Nunc nisl.
926,Greens Mustard,82.87,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",ac leo pellentesque,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
927,"Pasta - Canelloni, Single Serve",75.24,Suspendisse accumsan tortor quis turpis.,sit amet diam in magna,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
928,"Nut - Almond, Blanched, Sliced",28.15,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,nulla nisl nunc,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
929,"Apple - Delicious, Golden",55.64,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,tristique tortor eu pede,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
930,Coconut - Whole,82.11,In sagittis dui vel nisl.,augue vel accumsan,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
931,Plasticforkblack,32.34,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,ante ipsum primis in,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
932,Bread - Multigrain Oval,26.6,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,elementum ligula vehicula consequat morbi,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
933,"Veal - Round, Eye Of",8.48,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,in leo maecenas,Sed ante. Vivamus tortor. Duis mattis egestas metus.
934,Crab - Meat,70.47,Duis consequat dui nec nisi volutpat eleifend.,rutrum nulla tellus in sagittis,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
935,"Pepper - White, Ground",94.83,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",ut nunc vestibulum,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
936,Table Cloth 72x144 White,49.32,Nullam varius.,vestibulum sagittis sapien cum,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
937,"Wine - White, French Cross",41.92,Maecenas tincidunt lacus at velit.,augue a suscipit nulla elit,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
938,Wine - Barbera Alba Doc 2001,22.96,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,mauris vulputate elementum,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
939,"Wine - White, Pinot Grigio",67.8,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",ullamcorper augue a suscipit,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
940,"Tortillas - Flour, 12",60.08,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,porttitor id consequat in,Sed ante. Vivamus tortor. Duis mattis egestas metus.
941,Bread Country Roll,92.94,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",quam sapien varius,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
942,Cakes Assorted,23.54,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,luctus rutrum nulla tellus in,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
943,Pepper - Yellow Bell,80.16,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",donec diam neque vestibulum,In congue. Etiam justo. Etiam pretium iaculis justo.
944,Milk Powder,91.05,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",gravida sem praesent id massa,In congue. Etiam justo. Etiam pretium iaculis justo.
945,Icecream Cone - Areo Chocolate,13.86,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",sapien ut nunc vestibulum,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
946,Vinegar - White Wine,38.94,Ut at dolor quis odio consequat varius. Integer ac leo.,et ultrices posuere cubilia curae,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
947,Wine - Acient Coast Caberne,16.08,Suspendisse potenti.,erat nulla tempus vivamus in,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
948,Water - Perrier,37.29,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",ut dolor morbi vel,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
949,"Flour - Bran, Red",41.72,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,pellentesque ultrices mattis,In congue. Etiam justo. Etiam pretium iaculis justo.
950,Grapefruit - Pink,46.44,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",primis in faucibus orci luctus,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
951,"Salmon - Atlantic, Skin On",7.26,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,sollicitudin vitae consectetuer eget,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
952,Goat - Leg,52.39,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",posuere cubilia curae,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
953,Wine - Pinot Noir Pond Haddock,37.17,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",dignissim vestibulum vestibulum,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
954,Energy Drink - Franks Original,44.39,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",in consequat ut nulla sed,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
955,"Halibut - Whole, Fresh",96.67,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sed lacus morbi sem mauris,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
956,Island Oasis - Lemonade,13.8,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",nisi nam ultrices,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
957,"Rum - Light, Captain Morgan",24.57,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,lectus in est risus,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
958,"Bar Mix - Pina Colada, 355 Ml",99.01,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",lorem quisque ut erat curabitur,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
959,Lotus Root,40.9,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sapien iaculis congue vivamus,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
960,Chinese Foods - Thick Noodles,68.65,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,arcu sed augue aliquam erat,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
961,Beer - Heinekin,30.03,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",ac neque duis bibendum morbi,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
962,Breakfast Quesadillas,91.83,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,ut blandit non interdum in,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
963,Pickle - Dill,7.59,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,non velit donec,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
964,Wine - Prosecco Valdobiaddene,11.67,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,convallis eget eleifend luctus ultricies,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
965,Wine - Tribal Sauvignon,76.49,Morbi quis tortor id nulla ultrices aliquet.,dictumst etiam faucibus cursus urna,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
966,Pasta - Ravioli,1.43,Proin eu mi. Nulla ac enim.,curae mauris viverra,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
967,"Lamb - Pieces, Diced",57.51,Nam nulla.,eros elementum pellentesque quisque porta,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
968,Pork - Bacon Cooked Slcd,16.93,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,bibendum imperdiet nullam,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
969,Coffee - Decafenated,53.2,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",neque libero convallis,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
970,Basil - Pesto Sauce,87.44,Sed sagittis.,at turpis donec posuere,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
971,Pastry - Butterscotch Baked,3.46,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,turpis enim blandit,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
972,Rolled Oats,67.9,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,nulla suscipit ligula,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
973,Plasticspoonblack,34.16,Etiam vel augue.,eu mi nulla,Sed ante. Vivamus tortor. Duis mattis egestas metus.
974,Cheese - Blue,22.06,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,nulla ac enim in tempor,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
975,"Soup - Canadian Pea, Dry Mix",46.88,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,lectus aliquam sit amet diam,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
976,Squid - Tubes / Tenticles 10/20,97.53,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,adipiscing lorem vitae mattis nibh,In congue. Etiam justo. Etiam pretium iaculis justo.
977,Wine - Zinfandel California 2002,9.28,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",amet consectetuer adipiscing,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
978,"Chocolate - Semi Sweet, Calets",6.16,Sed ante.,sollicitudin mi sit amet,Phasellus in felis. Donec semper sapien a libero. Nam dui.
979,"Artichokes - Knobless, White",18.08,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,faucibus orci luctus,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
980,Versatainer Nc - 8288,95.58,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,lorem id ligula,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
981,Pastry - Chocolate Chip Muffin,26.38,Sed ante. Vivamus tortor.,curabitur gravida nisi at nibh,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
982,Potatoes - Peeled,3.66,Morbi vel lectus in quam fringilla rhoncus.,massa tempor convallis,In congue. Etiam justo. Etiam pretium iaculis justo.
983,Clam - Cherrystone,73.48,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",ut massa quis,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
984,Ham - Cooked Italian,48.85,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",nulla sed vel,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
985,Oyster - In Shell,75.36,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",lacus at velit vivamus vel,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
